transferId,deployHash,blockHash,sourcePurse,targetPurse,amount,fromAccount,toAccount,timestamp
null,3887f8c11b5fc6791ea96a9d25ff93935b198d694de73500ef7576ae98b8a0cb,0334820b083cb3d263f2c3acd4d15e05db2c184c5d5e30117eb178f486de00bd,uref-0bde0ab32f2a6c090e4620ac2f7c5d59b14f07815a4e0190a8dba83b8e1a920c-007,uref-069262738ae65f3829fd2794aa870bb6f98480299b3a1c42c1a349bf6273d06e-007,940000000000,70b409beaea815cf0c4c427cd7f482e3af50a20cff080a7a1f1093f3c1859743,6174cf2e6f8fed1715c9a3bace9c50bfe572eecb763b0ed3f644532616452008,2021-09-25T00:54:49.000Z
null,ef29eee8c701dd34014aad02659fa9be35c78f8080bcf413928153d79518a56b,fe0d6337c5439f4ce99fbc2f8d280e1b5b5717021852d5a35a85ad7c0793cf6e,uref-5d61a4129cda8e718e960d2b7cd84e59358b5053c4b5c3cf18bf66eeaa9049d8-007,uref-0bde0ab32f2a6c090e4620ac2f7c5d59b14f07815a4e0190a8dba83b8e1a920c-004,945499000000,e1431ecb9f20f2a6e6571886b1e2f9dec49ebc6b2d3d640a53530abafba9bfa1,70b409beaea815cf0c4c427cd7f482e3af50a20cff080a7a1f1093f3c1859743,2021-09-25T00:44:00.000Z
null,4750576083c7c7bec1c543248ebd3ae3a4813c94f58249043caf6df52feb1d35,4593282be9fbf2db4a08ffbeeaf055d6702d5f14cf28434384fda008ed7f5062,uref-0bde0ab32f2a6c090e4620ac2f7c5d59b14f07815a4e0190a8dba83b8e1a920c-007,uref-069262738ae65f3829fd2794aa870bb6f98480299b3a1c42c1a349bf6273d06e-007,2115000000000,70b409beaea815cf0c4c427cd7f482e3af50a20cff080a7a1f1093f3c1859743,6174cf2e6f8fed1715c9a3bace9c50bfe572eecb763b0ed3f644532616452008,2021-09-23T13:15:33.000Z
null,22b43b9438bb87e4380522f98ef5307c016167129ae8cef80f7a7a16d82176aa,18387947a0330e48ae0c74244d74171a57b0be71452f84138ab3872aa28c7d05,uref-5d61a4129cda8e718e960d2b7cd84e59358b5053c4b5c3cf18bf66eeaa9049d8-007,uref-0bde0ab32f2a6c090e4620ac2f7c5d59b14f07815a4e0190a8dba83b8e1a920c-004,2111517000000,e1431ecb9f20f2a6e6571886b1e2f9dec49ebc6b2d3d640a53530abafba9bfa1,70b409beaea815cf0c4c427cd7f482e3af50a20cff080a7a1f1093f3c1859743,2021-09-23T13:05:00.000Z
null,ac6a8aa46c2d8b3fe0fbef7cd4449981313e43b277a9ec35d3c0b2c75a3889b7,12a2b931c38bf1f17d6dec2a8e3b37e4e306f048d574881e83e143d6a5155939,uref-5d61a4129cda8e718e960d2b7cd84e59358b5053c4b5c3cf18bf66eeaa9049d8-007,uref-0bde0ab32f2a6c090e4620ac2f7c5d59b14f07815a4e0190a8dba83b8e1a920c-004,10000000000,e1431ecb9f20f2a6e6571886b1e2f9dec49ebc6b2d3d640a53530abafba9bfa1,70b409beaea815cf0c4c427cd7f482e3af50a20cff080a7a1f1093f3c1859743,2021-09-23T12:29:00.000Z
null,b4e62fb01645ad16d004e6190415cdb635fe96f4dbfb55399217b183859821d9,2a6e4bc45726b28e95c7b4f172006c1bac234f843e64904859744904babeeb76,uref-0bde0ab32f2a6c090e4620ac2f7c5d59b14f07815a4e0190a8dba83b8e1a920c-007,uref-d2b091ce5ec90aa16636840e591ea64b6cbe6354b5cb0cac9c81ba085947809e-007,7499990000,70b409beaea815cf0c4c427cd7f482e3af50a20cff080a7a1f1093f3c1859743,6174cf2e6f8fed1715c9a3bace9c50bfe572eecb763b0ed3f644532616452008,2021-09-22T16:19:10.000Z
null,f38be725677f9013dcd07f16d698bf2cb2bb250ea02bb407608feb076bd350da,45216c5c0e1e3b17a793c523632cf9994f97f7159720bf3d12077b63b09ab06c,uref-5d61a4129cda8e718e960d2b7cd84e59358b5053c4b5c3cf18bf66eeaa9049d8-007,uref-0bde0ab32f2a6c090e4620ac2f7c5d59b14f07815a4e0190a8dba83b8e1a920c-004,10000000000,e1431ecb9f20f2a6e6571886b1e2f9dec49ebc6b2d3d640a53530abafba9bfa1,70b409beaea815cf0c4c427cd7f482e3af50a20cff080a7a1f1093f3c1859743,2021-09-22T16:01:00.000Z
