transferId,deployHash,blockHash,sourcePurse,targetPurse,amount,fromAccount,toAccount,timestamp
1632530326531,04d16192230571584df3290f836e76b6304ee9274e38c2c02013cee86e679c82,5143cf37c91881504abc5eb9196cdb2c42b5353cc657ad28e992b5ca15a21577,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-642c289d0da9b14fcb71f52ab6230891c9489120277f11cfe0ff52b158e139a6-004,21753999968000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,7bbfb42e3335fa06f53bd812df6919cea6a960805a4d86125a9edc938200910b,2021-09-25T00:39:30.000Z
1632529802224,f26b35d418f7e5c26f80cce9bd7d1b79f4644fbe829b0a53659438ac2a4b9ab2,113c7285018c4569df3d80c7f57caefc9d8bf2419cb408ae0ea845cc15b5d60c,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-642c289d0da9b14fcb71f52ab6230891c9489120277f11cfe0ff52b158e139a6-004,50000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,7bbfb42e3335fa06f53bd812df6919cea6a960805a4d86125a9edc938200910b,2021-09-25T00:31:30.000Z
null,b2373b42b8f878b64adf773a69f12d4b700eb0185742911d395c79374352bb8a,1bbb4cad4d2233e313b7eac05a4a623e2883ea3ab9a12bddd661beb4c67f6506,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-16597de4dfa0bba0d3d6e78628bb2ed68d8118bd4d943a5f8c90d1a179ca7b6c-004,147999978000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,b497fe982b236bed2a8b4b7289a8d1d38a4243c58a9ad39adc1dbdc455b96b0c,2021-09-24T23:33:31.000Z
null,56269ffde36fa7af5c8b2d8eb7577ecf8ee3af81f762d6eccafca445459295fb,332f1171d2f27a07a5d63fcc435129c885db0bad936df3f6aab47df5694e2a53,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-8f28d5e6659d6847ab3ba781493ed84eb13d87d180314796533d9b7836dff763-004,291172427400,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,9245dd1c9321c897cfbfefff6c54f0cdc1fb3995ad18bffe2a8e487e37cabe1f,2021-09-24T23:30:54.000Z
null,286845b1752870167d45f278499a14ecd3f33072911f86470c6d1767b2443f7e,8b141ce438260ccc8d63d51a87b1f2b5725bc12110a89a6c5afc767b31dffe66,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-16597de4dfa0bba0d3d6e78628bb2ed68d8118bd4d943a5f8c90d1a179ca7b6c-004,10000000000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,b497fe982b236bed2a8b4b7289a8d1d38a4243c58a9ad39adc1dbdc455b96b0c,2021-09-24T23:15:33.000Z
null,9d3bc167504e2d63480a014bf994fd17879ae95462d90071126ae6137ff4fe70,94b435c5b30753e55eb1abff0ffc0972568fb2a3011b8c776ecbde8a79c63e62,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-9205e202e3835f4baabafde9cf66261b3ca9ba963eb5e009f5c759538dbccf14-004,103524286200,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,3b83e92b58df611f39a4bdbd889bdb1cc5f181a28190996e8cfec817b89224b2,2021-09-24T21:48:38.000Z
null,37479781dbd5eced2a08ad6be9c1aaec7034e1799e06d6bd8f7a88e8674c153c,05a2f81ff5519e475628a5be5ec7717d9d8e524aba6f73b2f030cc637e6ad58c,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-249b429f5ed10a4b1f8e772eb1fbdc514e491a616901cf9456744270281014c0-004,66639999978000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,31d1d9f9433c28418f9502a452c5a3005287461133498abce3e63413ca791f72,2021-09-24T21:46:33.000Z
null,8b8fce104369e22696572f771366bb7ceb2a762c3c81ea6ea5c141ded04a7cb4,08d23c98ef629541e1b8edc47a21ae280a8b912d6e736ee73e6e30b221adf519,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-249b429f5ed10a4b1f8e772eb1fbdc514e491a616901cf9456744270281014c0-004,26666666667,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,31d1d9f9433c28418f9502a452c5a3005287461133498abce3e63413ca791f72,2021-09-24T21:32:34.000Z
null,2e33982af21b85193817c8fcf18f50ffab3f85104ffba52a408998fb41fdb00d,6fa910ab792f233f67de2cce13d88711fb46169b74fa27f90180c39842a50851,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-e982356dc03c999ecca209a0a5aa8ee4e379a9e02b6501ff28602f9c961e3e9c-004,517621475100,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,9a116db16e5812c4be756563d9e608e6e70a802f8def153be57a3fbe5be58c87,2021-09-24T21:00:53.000Z
null,95aa8568af89d4890e75161b24a1e37585af143c15534b2957475341ce3de00e,12fda6ef9035f7094ff5385ae79457ae8085566bf1d6eef267d8f524a3b342b8,uref-6ad5075addcdef0308bf9100a88292fd16e49edeb724dea2cc9f6f3730352d97-007,uref-ccccbef32aaf95218facf1c0bbb2b601117d393c70e48e5d526cdc4427195a1e-004,2296543089000,45f3aa6ce2a450dd5a4f2cc4cc9054aded66de6b6cfc4ad977e7251cf94b649b,f88c3aafec5fa4f6e0e5213f341f9f4a7240fa561de8fc1cd187b79afebf9ae1,2021-09-24T20:44:36.000Z
